"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"1967 - MAI";2203
"1967 - JUN";2879
"1967 - JUL";2658
"1967 - AGO";2660
"1967 - SET";2668
"1967 - OUT";2769
"1967 - NOV";2785
"1967 - DEZ";3073
"1968 - JAN";2299
"1968 - FEV";2448
"1968 - MAR";3161
"1968 - ABR";3219
"1968 - MAI";3448
"1968 - JUN";3719
"1968 - JUL";3609
"1968 - AGO";3823
"1968 - SET";3534
"1968 - OUT";3664
"1968 - NOV";3340
"1968 - DEZ";4194
"1969 - JAN";3010
"1969 - FEV";2986
"1969 - MAR";3192
"1969 - ABR";3606
"1969 - MAI";3598
"1969 - JUN";3426
"1969 - JUL";3537
"1969 - AGO";3939
"1969 - SET";2704
"1969 - OUT";3131
"1969 - NOV";2972
"1969 - DEZ";3332
"1970 - JAN";2270
"1970 - FEV";2269
"1970 - MAR";2692
"1970 - ABR";3518
"1970 - MAI";3418
"1970 - JUN";3328
"1970 - JUL";3146
"1970 - AGO";3449
"1970 - SET";3594
"1970 - OUT";3621
"1970 - NOV";3550
"1970 - DEZ";3312
"1971 - JAN";2931
"1971 - FEV";2668
"1971 - MAR";3281
"1971 - ABR";2839
"1971 - MAI";3344
"1971 - JUN";3295
"1971 - JUL";2916
"1971 - AGO";3044
"1971 - SET";3427
"1971 - OUT";3713
"1971 - NOV";3154
"1971 - DEZ";3031
"1972 - JAN";3616
"1972 - FEV";3110
"1972 - MAR";3776
"1972 - ABR";3635
"1972 - MAI";4488
"1972 - JUN";4591
"1972 - JUL";4216
"1972 - AGO";4659
"1972 - SET";4488
"1972 - OUT";4779
"1972 - NOV";4465
"1972 - DEZ";4519
"1973 - JAN";4789
"1973 - FEV";4711
"1973 - MAR";4843
"1973 - ABR";5113
"1973 - MAI";5490
"1973 - JUN";5363
"1973 - JUL";5614
"1973 - AGO";5816
"1973 - SET";5307
"1973 - OUT";6120
"1973 - NOV";5891
"1973 - DEZ";5761
"1974 - JAN";4531
"1974 - FEV";4443
"1974 - MAR";6279
"1974 - ABR";5530
"1974 - MAI";6092
"1974 - JUN";6100
"1974 - JUL";6510
"1974 - AGO";6591
"1974 - SET";6102
"1974 - OUT";7682
"1974 - NOV";6526
"1974 - DEZ";5047
"1975 - JAN";5209
"1975 - FEV";5254
"1975 - MAR";6116
"1975 - ABR";6208
"1975 - MAI";5695
"1975 - JUN";6456
"1975 - JUL";6587
"1975 - AGO";5821
"1975 - SET";6608
"1975 - OUT";6452
"1975 - NOV";5271
"1975 - DEZ";4224
"1976 - JAN";5065
"1976 - FEV";4936
"1976 - MAR";6182
"1976 - ABR";5128
"1976 - MAI";6069
"1976 - JUN";6070
"1976 - JUL";6489
"1976 - AGO";6744
"1976 - SET";7697
"1976 - OUT";7205
"1976 - NOV";5909
"1976 - DEZ";7477
"1977 - JAN";6348
"1977 - FEV";6584
"1977 - MAR";8671
"1977 - ABR";6818
"1977 - MAI";8927
"1977 - JUN";9039
