"Emplacamento de Caminhões"
"Período";"CAMINHÕES"
"2022 - MAI";10396
"2022 - JUN";10978
"2022 - JUL";11555
"2022 - AGO";12502
"2022 - SET";11503
"2022 - OUT";10797
"2022 - NOV";10209
"2022 - DEZ";12476
"2023 - JAN";10457
"2023 - FEV";8108
"2023 - MAR";10051
"2023 - ABR";7824
"2023 - MAI";8223
"2023 - JUN";7886
"2023 - JUL";8369
"2023 - AGO";9312
"2023 - SET";8771
"2023 - OUT";9413
"2023 - NOV";9220
"2023 - DEZ";10326
"2024 - JAN";8207
"2024 - FEV";8330
"2024 - MAR";9880
"2024 - ABR";10754
"2024 - MAI";9538
"2024 - JUN";9978
"2024 - JUL";11346
"2024 - AGO";11526
"2024 - SET";11456
"2024 - OUT";12217
"2024 - NOV";10169
"2024 - DEZ";11447
"2025 - JAN";9410
"2025 - FEV";8967
"2025 - MAR";9372
"2025 - ABR";9343
"2025 - MAI";9147
"2025 - JUN";8507
"2025 - JUL";10591
"2025 - AGO";8915
"2025 - SET";9797
"2025 - OUT";10665
"2025 - NOV";8916
"2025 - DEZ";9849
"2026 - JAN";6484
"2026 - FEV";6687
"2026 - MAR";8825
"2026 - ABR";8826
"2026 - MAI";8420
"2026 - JUN";9755
"2026 - JUL";11645
"2026 - AGO";10008
