"Exportação de Caminhões"
"Período";"CAMINHÕES"
"2012 - ABR";1847
"2012 - MAI";1987
"2012 - JUN";2245
"2012 - JUL";2173
"2012 - AGO";2262
"2012 - SET";2002
"2012 - OUT";2195
"2012 - NOV";1722
"2012 - DEZ";1057
"2013 - JAN";1373
"2013 - FEV";975
"2013 - MAR";1739
"2013 - ABR";1883
"2013 - MAI";2508
"2013 - JUN";2415
"2013 - JUL";2051
"2013 - AGO";3002
"2013 - SET";1679
"2013 - OUT";2494
"2013 - NOV";2212
"2013 - DEZ";1870
"2014 - JAN";1144
"2014 - FEV";1778
"2014 - MAR";1548
"2014 - ABR";1692
"2014 - MAI";1590
"2014 - JUN";1570
"2014 - JUL";1347
"2014 - AGO";1690
"2014 - SET";1583
"2014 - OUT";1389
"2014 - NOV";1560
"2014 - DEZ";846
"2015 - JAN";1169
"2015 - FEV";1428
"2015 - MAR";1793
"2015 - ABR";1668
"2015 - MAI";2154
"2015 - JUN";1980
"2015 - JUL";1774
"2015 - AGO";1393
"2015 - SET";2012
"2015 - OUT";2077
"2015 - NOV";2518
"2015 - DEZ";1017
"2016 - JAN";842
"2016 - FEV";1675
"2016 - MAR";1587
"2016 - ABR";1697
"2016 - MAI";1857
"2016 - JUN";1718
"2016 - JUL";1880
"2016 - AGO";1499
"2016 - SET";2502
"2016 - OUT";1651
"2016 - NOV";2206
"2016 - DEZ";2434
"2017 - JAN";1065
"2017 - FEV";2122
"2017 - MAR";2657
"2017 - ABR";2469
"2017 - MAI";2534
"2017 - JUN";2784
"2017 - JUL";2753
"2017 - AGO";2634
"2017 - SET";2404
"2017 - OUT";2348
"2017 - NOV";2302
"2017 - DEZ";2148
"2018 - JAN";1865
"2018 - FEV";2709
"2018 - MAR";2757
"2018 - ABR";2736
"2018 - MAI";1783
"2018 - JUN";2511
"2018 - JUL";2148
"2018 - AGO";2161
"2018 - SET";1794
"2018 - OUT";1731
"2018 - NOV";1392
"2018 - DEZ";1055
"2019 - JAN";520
"2019 - FEV";806
"2019 - MAR";1193
"2019 - ABR";1104
"2019 - MAI";1323
"2019 - JUN";1045
"2019 - JUL";1510
"2019 - AGO";1353
"2019 - SET";984
"2019 - OUT";1499
"2019 - NOV";1242
"2019 - DEZ";973
"2020 - JAN";893
"2020 - FEV";897
"2020 - MAR";969
"2020 - ABR";217
"2020 - MAI";636
"2020 - JUN";1187
"2020 - JUL";1217
"2020 - AGO";1116
"2020 - SET";1568
"2020 - OUT";1474
"2020 - NOV";1426
"2020 - DEZ";1643
"2021 - JAN";1370
"2021 - FEV";1958
"2021 - MAR";1951
"2021 - ABR";1887
"2021 - MAI";1797
"2021 - JUN";1768
"2021 - JUL";1884
"2021 - AGO";2068
"2021 - SET";1976
"2021 - OUT";2305
"2021 - NOV";1800
"2021 - DEZ";1935
"2022 - JAN";1181
"2022 - FEV";1455
"2022 - MAR";2049
"2022 - ABR";1986
"2022 - MAI";2263
"2022 - JUN";2204
"2022 - JUL";2017
