"Produção de Caminhões"
"Período";"CAMINHÕES"
"1994 - DEZ";5272
"1995 - JAN";5166
"1995 - FEV";5853
"1995 - MAR";7117
"1995 - ABR";6410
"1995 - MAI";6722
"1995 - JUN";8034
"1995 - JUL";7104
"1995 - AGO";6566
"1995 - SET";3892
"1995 - OUT";5901
"1995 - NOV";5215
"1995 - DEZ";2093
"1996 - JAN";3552
"1996 - FEV";4434
"1996 - MAR";4355
"1996 - ABR";4991
"1996 - MAI";3835
"1996 - JUN";3480
"1996 - JUL";3568
"1996 - AGO";4099
"1996 - SET";3389
"1996 - OUT";4978
"1996 - NOV";4014
"1996 - DEZ";3327
"1997 - JAN";3552
"1997 - FEV";3940
"1997 - MAR";4283
"1997 - ABR";4779
"1997 - MAI";4741
"1997 - JUN";5382
"1997 - JUL";6198
"1997 - AGO";5810
"1997 - SET";6819
"1997 - OUT";7629
"1997 - NOV";6524
"1997 - DEZ";3757
"1998 - JAN";4658
"1998 - FEV";4480
"1998 - MAR";5406
"1998 - ABR";5920
"1998 - MAI";6671
"1998 - JUN";6370
"1998 - JUL";6550
"1998 - AGO";5906
"1998 - SET";5974
"1998 - OUT";5193
"1998 - NOV";4281
"1998 - DEZ";1855
"1999 - JAN";4463
"1999 - FEV";4234
"1999 - MAR";4862
"1999 - ABR";4165
"1999 - MAI";4752
"1999 - JUN";5107
"1999 - JUL";4437
"1999 - AGO";4735
"1999 - SET";4658
"1999 - OUT";4689
"1999 - NOV";5485
"1999 - DEZ";3607
"2000 - JAN";3413
"2000 - FEV";5078
"2000 - MAR";5635
"2000 - ABR";5612
"2000 - MAI";6784
"2000 - JUN";6339
"2000 - JUL";6462
"2000 - AGO";7657
"2000 - SET";7081
"2000 - OUT";7054
"2000 - NOV";5654
"2000 - DEZ";4345
"2001 - JAN";5544
"2001 - FEV";5921
"2001 - MAR";7941
"2001 - ABR";6575
"2001 - MAI";8059
"2001 - JUN";7155
"2001 - JUL";6903
"2001 - AGO";7123
"2001 - SET";5975
"2001 - OUT";6469
"2001 - NOV";5820
"2001 - DEZ";3766
"2002 - JAN";4826
"2002 - FEV";5345
"2002 - MAR";6350
"2002 - ABR";6792
"2002 - MAI";6443
"2002 - JUN";5536
"2002 - JUL";5938
"2002 - AGO";5581
"2002 - SET";5353
"2002 - OUT";5856
"2002 - NOV";6262
"2002 - DEZ";4072
"2003 - JAN";6266
"2003 - FEV";6838
"2003 - MAR";6763
"2003 - ABR";6111
"2003 - MAI";6320
"2003 - JUN";5874
"2003 - JUL";6228
"2003 - AGO";6531
"2003 - SET";6518
"2003 - OUT";6932
"2003 - NOV";7916
"2003 - DEZ";5488
"2004 - JAN";6245
"2004 - FEV";7181
"2004 - MAR";9212
"2004 - ABR";8611
"2004 - MAI";9116
"2004 - JUN";8928
"2004 - JUL";9351
"2004 - AGO";9686
"2004 - SET";9698
"2004 - OUT";9110
"2004 - NOV";9557
"2004 - DEZ";8097
"2005 - JAN";8019
"2005 - FEV";8116
"2005 - MAR";10200
"2005 - ABR";9755
"2005 - MAI";9888
"2005 - JUN";10480
"2005 - JUL";8409
"2005 - AGO";9613
"2005 - SET";10963
"2005 - OUT";9931
"2005 - NOV";10089
"2005 - DEZ";7458
"2006 - JAN";6052
"2006 - FEV";7701
"2006 - MAR";9893
"2006 - ABR";7744
"2006 - MAI";9729
"2006 - JUN";8699
"2006 - JUL";9066
"2006 - AGO";9635
"2006 - SET";8913
"2006 - OUT";9014
"2006 - NOV";9194
"2006 - DEZ";7657
"2007 - JAN";6945
"2007 - FEV";8716
"2007 - MAR";11148
"2007 - ABR";10157
"2007 - MAI";11804
"2007 - JUN";11686
"2007 - JUL";11975
"2007 - AGO";13079
"2007 - SET";11956
"2007 - OUT";14168
"2007 - NOV";13014
"2007 - DEZ";9091
"2008 - JAN";10391
"2008 - FEV";12288
"2008 - MAR";13671
"2008 - ABR";13516
"2008 - MAI";12954
"2008 - JUN";14691
"2008 - JUL";15547
"2008 - AGO";16233
"2008 - SET";16268
"2008 - OUT";17690
"2008 - NOV";14687
"2008 - DEZ";5821
"2009 - JAN";7224
"2009 - FEV";7163
"2009 - MAR";9375
"2009 - ABR";9374
"2009 - MAI";9356
"2009 - JUN";9394
"2009 - JUL";9507
"2009 - AGO";9344
"2009 - SET";11477
"2009 - OUT";12787
"2009 - NOV";13805
"2009 - DEZ";12188
"2010 - JAN";11411
"2010 - FEV";13302
"2010 - MAR";16734
"2010 - ABR";15498
"2010 - MAI";15600
"2010 - JUN";16107
"2010 - JUL";17479
"2010 - AGO";18300
"2010 - SET";16485
"2010 - OUT";16082
"2010 - NOV";17395
"2010 - DEZ";15540
"2011 - JAN";13782
"2011 - FEV";17723
"2011 - MAR";16836
"2011 - ABR";16343
"2011 - MAI";20283
"2011 - JUN";19754
"2011 - JUL";19914
"2011 - AGO";22647
"2011 - SET";18544
"2011 - OUT";19770
"2011 - NOV";19410
"2011 - DEZ";18596
"2012 - JAN";3535
"2012 - FEV";12209
"2012 - MAR";15528
"2012 - ABR";11128
"2012 - MAI";11689
"2012 - JUN";8818
"2012 - JUL";12460
"2012 - AGO";12896
"2012 - SET";11053
"2012 - OUT";13111
"2012 - NOV";12070
"2012 - DEZ";8906
"2013 - JAN";12622
"2013 - FEV";13664
"2013 - MAR";16533
"2013 - ABR";18034
"2013 - MAI";16378
"2013 - JUN";16136
"2013 - JUL";16623
"2013 - AGO";19059
"2013 - SET";17151
"2013 - OUT";18498
"2013 - NOV";14726
"2013 - DEZ";7578
"2014 - JAN";13776
"2014 - FEV";15174
"2014 - MAR";13844
"2014 - ABR";12314
"2014 - MAI";12695
"2014 - JUN";8190
"2014 - JUL";12322
"2014 - AGO";11988
"2014 - SET";11786
"2014 - OUT";12394
"2014 - NOV";11778
"2014 - DEZ";3704
"2015 - JAN";8291
"2015 - FEV";7648
"2015 - MAR";7374
"2015 - ABR";6864
"2015 - MAI";6169
"2015 - JUN";5284
"2015 - JUL";6599
"2015 - AGO";5283
"2015 - SET";5819
"2015 - OUT";6799
"2015 - NOV";5350
"2015 - DEZ";2582
"2016 - JAN";4158
"2016 - FEV";5317
"2016 - MAR";5661
"2016 - ABR";5197
"2016 - MAI";5332
"2016 - JUN";5570
"2016 - JUL";5091
"2016 - AGO";5211
"2016 - SET";4846
"2016 - OUT";4635
"2016 - NOV";5362
"2016 - DEZ";4102
"2017 - JAN";4482
"2017 - FEV";5314
"2017 - MAR";5952
"2017 - ABR";5900
"2017 - MAI";7576
"2017 - JUN";6797
"2017 - JUL";7093
"2017 - AGO";8488
"2017 - SET";7599
"2017 - OUT";8241
"2017 - NOV";8166
"2017 - DEZ";7436
"2018 - JAN";6707
"2018 - FEV";7780
"2018 - MAR";9947
"2018 - ABR";9095
"2018 - MAI";7423
"2018 - JUN";8635
"2018 - JUL";8855
"2018 - AGO";9697
"2018 - SET";9115
"2018 - OUT";10858
"2018 - NOV";10043
"2018 - DEZ";7379
"2019 - JAN";6811
"2019 - FEV";9631
"2019 - MAR";8319
"2019 - ABR";9412
"2019 - MAI";11230
"2019 - JUN";9993
"2019 - JUL";10918
"2019 - AGO";10732
"2019 - SET";10406
"2019 - OUT";11286
"2019 - NOV";8764
"2019 - DEZ";5974
"2020 - JAN";7169
"2020 - FEV";9131
"2020 - MAR";8406
"2020 - ABR";403
"2020 - MAI";4054
"2020 - JUN";5575
"2020 - JUL";6820
"2020 - AGO";7087
"2020 - SET";9430
"2020 - OUT";10902
"2020 - NOV";11474
"2020 - DEZ";10485
"2021 - JAN";8805
"2021 - FEV";11805
"2021 - MAR";12472
"2021 - ABR";13093
"2021 - MAI";13908
"2021 - JUN";14639
"2021 - JUL";14801
"2021 - AGO";14963
"2021 - SET";13816
"2021 - OUT";13733
"2021 - NOV";14380
"2021 - DEZ";12395
"2022 - JAN";9463
"2022 - FEV";11389
"2022 - MAR";13531
"2022 - ABR";10072
"2022 - MAI";13947
